optimizer,size,chinchilla,loss_min,loss_baseline,n_ablations,loss_ablation_median,loss_ablation_worst
lion,300m,8,3.042884588241577,3.0458250045776367,4,3.0537558794021606,3.061250686645508
lion,520m,1,3.1076302528381348,3.108016014099121,22,3.1181225776672363,8.046377182006836
lion,520m,2,3.0284509658813477,3.028674364089966,4,3.037300229072571,7.779125690460205
lion,520m,4,2.9652392864227295,2.9652392864227295,4,2.9687756299972534,2.975492238998413
lion,520m,8,2.9147348403930664,2.9147348403930664,4,2.9209394454956055,2.922492742538452
mars,130m,1,3.536329746246338,3.537498712539673,22,3.5497846603393555,40927.45703125
mars,130m,2,3.394932270050049,3.395533561706543,22,3.4019569158554077,3.5240225791931152
mars,130m,4,3.320751428604126,3.3225204944610596,24,3.328818202018738,8.641791343688965
mars,130m,8,3.2465016841888428,3.2466704845428467,23,3.2523162364959717,3.40966796875
mars,300m,1,3.246682643890381,3.2489006519317627,22,3.259014368057251,7.899043560028076
mars,300m,2,3.156471014022827,3.158052682876587,6,3.167519450187683,3.1739578247070312
mars,300m,4,3.094512701034546,3.0973103046417236,6,3.0974684953689575,3.1114141941070557
mars,300m,8,3.03804612159729,3.0402114391326904,6,3.0472304821014404,3.050072193145752
mars,520m,1,3.098572254180908,3.100747585296631,22,3.1060917377471924,17.2548828125
mars,520m,2,3.0136630535125732,3.015342712402344,6,3.0191702842712402,3.0248851776123047
mars,520m,4,2.952986717224121,2.955329179763794,6,2.9584110975265503,2.9736084938049316
mars,520m,8,2.905677080154419,2.9063034057617188,6,2.907743453979492,2.9166340827941895
mini,130m,1,3.542064666748047,3.542064666748047,18,3.562727928161621,7.825168132781982
mini,130m,2,3.414708137512207,3.4163756370544434,19,3.4259743690490723,7.79632568359375
mini,130m,4,3.32792329788208,3.32792329788208,20,3.3616623878479004,7.855252742767334
mini,130m,8,3.2635786533355713,3.266176223754883,20,3.2854501008987427,7.86801290512085
mini,300m,1,3.272055149078369,3.272055149078369,20,3.2799655199050903,8.580626487731934
mini,300m,2,3.1780893802642822,3.1780893802642822,4,3.1814900636672974,6.960036754608154
mini,300m,4,3.1028668880462646,3.1028668880462646,4,3.1098179817199707,3.111079216003418
mini,300m,8,3.049351930618286,3.049351930618286,4,3.0516427755355835,3.064393997192383
mini,520m,1,3.1117799282073975,3.1121535301208496,19,3.132754325866699,7.791623592376709
mini,520m,2,3.027266263961792,3.027266263961792,4,3.0344566106796265,7.358562469482422
mini,520m,4,2.9628939628601074,2.965784788131714,4,2.9718955755233765,7.528530120849609
mini,520m,8,2.911536931991577,2.911536931991577,4,2.972747325897217,7.448970317840576
muon,1.2b,1,2.8862736225128174,2.8914880752563477,0,,
muon,1.2b,2,2.827101230621338,2.827101230621338,0,,
